Entity1|Entity2
6804|42415
71|11420
26669|32049
10290|15222
12481|29989
36853|38760
7581|43462
11677|31187
6249|22934
9931|45013
892|8827
23455|36647
15489|42472
4520|35390
11082|15036
4347|49757
19557|32483
25007|38947
15787|17723
27256|48884
20216|43325
24223|38421
4694|20964
21938|31530
10152|26709
33684|39599
19497|37512
43088|45505
29748|38611
402|49524
825|14420
2884|40126
13938|40141
4577|30692
1268|43189
7978|10560
46234|46526
9893|48216
13386|20430
9273|34136
24897|48110
8004|8415
20304|36106
14903|25635
821|14780
7924|15048
25680|48668
3205|13526
9261|35173
2832|44494
3848|25703
9924|45675
27327|43057
29807|33826
25060|34605
3052|26236
49356|49559
10164|25753
27484|30021
3275|7721
23463|36031
10335|11558
479|43187
18110|21580
21036|40862
12387|37846
24210|39626
3679|39738
20936|49221
3119|20683
20271|38877
2923|36945
41498|46470
2075|41793
7184|10973
2405|14415
6102|35231
548|37469
23407|40729
26460|49436
34412|44768
4770|14723
43067|47304
15438|46781
7569|44570
25088|32251
22690|34688
32926|37047
39988|40718
18770|32367
7051|22023
8391|41870
3732|35371
3207|13408
3255|9427
3980|14783
22024|24483
16198|49294
17135|37057
10676|48841
33736|35434
9941|44309
2216|30131
39111|48063
29061|30262
31292|41704
575|35269
14611|49912
14862|29080
6314|17684
37644|38757
13888|44394
17985|32016
2821|45467
7984|10151
32194|32368
19461|40636
9227|38077
32863|42335
14113|25760
40672|49560
4756|15946
26556|41517
11074|15847
849|12552
8464|35864
20976|45953
10893|30858
590|34058
605|32813
7820|23798
14941|22561
23547|29163
37604|42041
30571|35982
7528|48028
29002|35138
7178|11542
37603|42232
6203|26952
16366|35404
36026|42041
21810|42303
2389|15840
9982|40967
11676|31437
15747|21231
9907|47220
24303|32023
15597|33680
5165|47589
28220|34589
4368|48193
36006|43717
21840|39797
10971|24433
4418|44051
809|15928
9402|23617
44639|48050
10791|39399
6180|28888
20947|48431
26652|33627
32801|47558
34442|42428
10802|38502
6196|27588
9351|27857
23579|26567
29629|48696
22517|49172
1386|33601
2255|27017
4477|39200
2013|47104
26722|27900
13191|36845
33738|35403
43106|44312
9921|46101
14795|34798
19629|26778
508|40950
5165|47629
27506|28371
46217|48227
28958|38939
13405|19076
18882|23228
11645|34083
33570|49360
8394|41784
27467|31631
592|34000
8364|44270
10906|29892
16226|47076
6962|29589
9478|17374
22688|35069
623|31435
14905|25688
3942|18095
10164|25966
22594|42861
27298|45606
25761|42107
10943|26867
35974|46408
16220|47611
525|39586
17004|48074
20982|45567
6744|47694
30561|36933
22747|30204
1409|31763
29760|37968
17224|29864
2887|40168
13148|40485
2449|10988
22521|48955
3254|9703
3167|16937
7573|44458
2521|5016
3067|25235
1591|16672
6438|7583
1210|48300
20351|32443
11606|37388
6235|24439
21891|35748
18026|28861
16214|48180
19452|41579
1484|25571
24249|36588
10131|28768
4849|8428
523|39800
8347|45766
36019|42716
2495|7197
6900|34796
31296|41509
11559|41339
17187|32943
11581|39484
1702|7488
21737|48506
13133|41750
3679|40027
15767|19779
36743|48271
19692|21691
15003|17650
47013|47837
24372|26478
2936|36165
1214|48022
28164|39423
32875|41647
8708|15856
5205|44450
18817|28750
20302|36574
27510|28183
17242|28414
7857|20949
17874|41488
14916|24864
5611|10777
24310|31590
25903|30441
23376|43625
20402|28318
20955|47957
14007|34821
15578|35506
33747|34744
7224|7967
31352|36926
22646|38674
5498|20153
18926|19757
5575|13787
39984|41373
8595|25263
5157|48470
7891|18159
13252|31940
29716|41663
15572|35984
22044|23088
19452|41618
33679|40496
28232|33837
4468|40138
9271|34715
27442|33874
21106|35460
46995|49390
12675|14341
1394|33144
9413|22942
6191|28223
6021|42335
7605|41937
2084|41415
25173|25609
6129|33372
12286|46608
28188|37516
21108|35275
757|20496
2774|49688
33683|40170
15505|41576
32197|32396
21979|28572
26632|35536
19535|34819
10340|11549
7514|49503
13870|46258
4527|35283
17854|43256
21888|36119
5392|29014
37518|49526
13133|41895
24355|27928
15013|16902
18650|42716
7153|13942
11547|42435
14769|37157
10786|40086
12683|13684
979|2092
5353|32276
12570|23065
5533|17337
5630|9272
35164|48292
25780|40734
14199|18937
15012|16991
32800|47894
37526|48845
31372|35431
32936|36689
1718|6310
37639|39570
30543|38707
19382|47537
18706|38108
2773|49822
27379|39174
30513|41184
25764|42148
3968|16184
7202|9911
1467|27156
17348|19733
11853|17074
47787|49239
13449|15678
12263|48582
1470|26911
15711|24540
5295|37113
5572|14123
892|9354
39985|41423
18711|37736
40679|49359
14863|29430
20381|30199
35985|45735
9926|45976
23463|36531
18583|48350
25851|34895
10184|24556
10290|15755
7858|21007
31218|48195
14891|27095
36807|43040
2952|35013
17846|43974
11494|46944
13246|32605
7180|11787
8473|35534
28859|47457
1740|4551
17848|43851
10090|32392
3991|14326
13186|37591
11752|25514
39985|41508
37595|43267
19523|35889
32854|43580
14863|29447
19427|43861
18854|25885
20271|39333
25740|44214
21747|47902
40760|42723
123|7712
6186|28783
16352|36978
2967|33806
32197|32516
36878|37234
6968|29402
11671|32297
897|9019
12432|34671
13475|13610
674|27534
5340|33482
7958|12797
39959|43641
7694|34702
8413|40554
6226|25471
16367|35724
20218|43822
13111|43869
7881|19191
30461|45628
29851|30732
43063|48255
704|25072
21203|27595
31360|36571
32969|34101
4837|9716
32021|47249
32055|44425
27297|46123
4668|23755
18838|27263
37646|39106
12674|14600
5191|45872
30638|30957
41528|44578
20148|49609
6947|31218
18002|31172
33733|36176
2282|25188
38337|47266
42263|49084
18034|28508
10233|20621
28930|41605
22816|24817
12587|21841
31389|34131
1364|35871
31368|35865
16298|41519
13460|14968
31366|36119
1207|48914
6888|36152
21193|28495
3089|23789
3038|28016
13394|20430
17361|18851
19701|21248
10917|29435
6987|27949
12622|18978
8529|31028
11545|42834
31294|42108
14624|49418
32005|48633
12475|31183
14886|27673
1214|48362
39169|43809
14706|42656
24913|47393
39101|49450
20962|47706
19502|37813
18886|23403
2359|18863
27444|33938
16285|42681
20311|36190
18783|31940
30471|44829
14236|16133
31275|43636
446|46579
12423|35547
46208|49392
6274|21623
22583|44215
2110|39546
9124|47210
21913|34283
7930|15237
22052|22742
10706|46972
13041|49771
29067|30390
9886|49526
7794|26548
27263|49046
14251|14917
2377|17410
3228|12316
24260|36160
28125|43045
15811|16514
13262|31449
21892|36066
28919|42691
16205|49329
4088|6480
3288|7343
11574|40483
23331|47699
38415|40936
31395|33799
10163|26544
12281|47340
16495|25266
17133|37847
6196|28120
45423|49093
4838|9770
37661|37990
904|8613
16358|36631
985|1895
24185|42346
28976|37919
19502|37866
13458|15235
15717|24353
30471|44894
19467|40769
39169|43883
11542|43167
3868|24769
34496|38527
7909|17050
21167|30739
5281|38558
57|13409
3776|32413
20319|35573
43102|45100
19510|37242
6851|39347
28055|48915
14622|49725
6101|36061
20252|41196
30638|31142
5658|7283
9094|49780
11783|23222
13427|17846
2154|35980
4031|11263
18890|23159
23607|24862
10092|32507
7680|36090
15497|42615
3625|44969
15541|38962
5975|46536
10356|10592
27332|43400
17109|39903
34537|35206
2117|39069
15524|40383
12332|43214
43871|46893
28250|32695
17344|20437
44677|45531
18100|23236
13456|15467
10730|45097
24252|36856
18904|22030
14044|32203
6176|29861
7629|40336
1671|10569
694|26124
29808|34470
10720|45950
21012|43661
36807|43361
33736|36131
15493|42980
10706|47107
9332|30074
14161|22472
4722|19497
10165|26473
41467|49804
12370|40054
4489|38833
27263|49177
10679|49370
12687|13782
604|33620
9486|17311
182|3109
2496|7661
17906|39355
2303|23682
32910|39224
2379|17368
25897|31490
15438|47580
20425|26878
28059|48657
522|40441
13211|35818
17062|43869
15685|27086
29724|41545
14203|19023
9347|28856
27375|39902
12566|23856
39166|44250
44629|49580
14236|16318
20335|34396
31248|46078
15581|35767
20380|30656
21755|47605
3946|18415
1302|41265
16252|45585
11052|18458
5400|28820
35156|49408
28242|33437
2912|38707
7798|26389
1207|49160
9528|13894
15456|46165
31379|35301
20277|39247
792|18082
2347|20095
11869|16217
18638|44205
27340|42865
39914|47783
16293|42217
35154|49674
7565|45766
11506|46326
16367|36081
24349|28983
25893|31902
14178|21202
12498|29568
18734|36278
5244|41807
23451|37973
11697|30521
28845|48980
25015|39193
17987|32734
11723|28336
37535|48597
7205|10140
8562|28583
19612|28917
2384|17064
25156|27497
12575|23162
13087|46208
13366|23089
24966|43344
891|9923
13989|36915
14158|22888
15004|18211
46216|49089
15498|42752
15002|18385
10248|19725
7895|18412
17979|33428
14184|20716
8792|9526
14919|25244
31348|37954
12562|24275
22648|39104
2318|22582
3130|20721
8679|18899
27444|34301
9538|13132
7874|20177
14090|28528
26711|29608
4556|33429
12296|46395
4533|35348
38331|48148
16447|29540
8432|39419
43855|48419
27472|31924
37548|47603
9140|46191
2452|11473
19463|41357
18867|25290
44678|45637
30441|47644
16592|17496
3040|28213
35959|48426
18938|19392
29028|33864
35222|44058
29644|48270
15480|44261
9124|47529
14642|48277
30639|31227
25043|37017
3845|26952
32159|36222
24939|45650
7590|43799
28097|45679
26670|33054
8007|9194
20347|33554
21282|21488
43878|46596
27304|45970
19658|25208
771|19963
5439|25741
22055|22856
7633|40246
8788|9924
3221|13219
5336|34293
25842|36255
35307|37097
15565|37239
11817|20640
2357|19408
22790|27379
24118|48285
16440|30191
11888|14786
5275|39370
879|11013
28930|42048
20401|29117
613|33097
3815|29468
35293|38208
8771|11340
29862|30237
15640|31061
22535|48595
33580|49315
496|42810
5949|48956
17013|48173
30465|45714
661|29121
21981|29030
39934|46221
11120|13006
24894|49369
29681|45264
7643|39454
18885|23854
9577|10000
