Entity1|Entity2
20673|70938
31667|75984
32124|38059
12834|66207
4075|6798
4536|99593
6534|64834
28686|61263
8290|50157
3297|71367
4085|5963
24114|47468
33228|77451
23984|58260
83525|97163
57027|68308
34755|81776
48791|96531
6146|97064
29861|94769
71101|79829
16434|29610
89894|92845
52464|53824
20422|91814
10160|26035
18028|28369
14769|36727
56879|80607
85102|97366
47430|78331
7901|82483
27455|32326
52295|67855
19615|27713
6831|40213
27196|53829
7821|89115
5115|51592
8384|42413
3623|44355
22320|65392
83575|92987
11790|21866
23744|78277
75855|78378
33474|57124
41142|76048
83588|91898
32043|44819
50776|62754
13198|36080
22369|61315
85198|89338
14865|28770
18086|23575
51977|94156
9710|63443
5665|5961
320|56376
25402|71754
55474|66057
41496|46649
55564|58573
6945|30782
24012|56060
26903|78193
52001|92179
64811|77541
9579|74332
37961|77895
32984|97762
40944|92463
22296|67407
75737|88145
89825|98507
17699|55737
28337|90246
9792|56642
20831|57920
47276|91177
47728|53662
83676|84581
1829|62227
29049|31158
63012|95769
59817|98829
64931|67568
28618|66940
19682|22208
11140|75879
34691|87248
69514|80575
31886|57924
89823|98887
31670|75842
5487|20774
19685|22002
20443|90166
10971|89915
4654|89915
31447|94352
40994|88403
45973|68350
44134|89913
6696|51521
7863|85738
39829|54009
83661|86050
69330|95834
17879|40827
9352|93215
13158|39447
19596|29373
66373|79119
41120|77932
317|56694
19030|76355
540|38186
42609|85398
77407|80788
19368|48357
5070|55415
91397|99293
3174|81719
48860|90941
11794|21611
19042|75397
61527|88142
935|5421
85144|94006
20471|87867
74270|79035
14854|29775
45800|82673
29023|33381
5524|17764
8565|27495
3983|14592
8694|16789
12730|75004
44330|73607
5440|24745
8353|45114
57138|59123
81983|94172
49052|74895
11388|55359
42800|69645
6293|85025
34753|82169
30182|68350
14684|43948
26873|80849
55510|63193
10327|12360
16260|44186
9459|84402
55393|72907
39503|81127
35017|60267
2374|17096
2180|33198
6695|51686
2225|29476
29986|84583
33592|47427
72752|73930
3853|25432
25774|40965
20591|77974
59976|85767
44676|44959
24172|42864
66508|67872
17349|84900
57008|69957
31524|88010
11246|67207
89913|91546
39733|62119
50555|81408
26661|98498
44514|58521
78911|87188
18798|95763
36603|59767
9951|43610
60128|73288
22457|54205
14546|55465
81953|96847
75728|89246
37963|77939
61502|90312
80505|85986
78913|87040
72555|90426
357|53497
55573|58161
1623|79487
34778|80170
12793|69873
53871|68353
20908|51684
11021|85879
52062|87426
37785|92697
25230|86167
28972|37728
898|8607
41414|53632
23621|88650
3642|43008
30389|51192
38370|44151
453|45556
11819|19671
42989|53963
4589|95485
17179|99076
37845|87713
58402|85517
3438|59952
401|49889
16127|55371
86808|87051
52206|75395
18973|81290
30054|79090
16130|55128
4652|90275
6165|95788
52378|61127
17782|49065
20628|74995
30131|72723
61528|88095
6771|45493
12959|56153
31561|85094
94551|99731
49207|62186
6817|41688
25407|71546
18889|88308
35181|46738
63348|68159
41560|41592
22470|53219
61562|85328
22743|30559
119|73336
3998|13520
80566|80825
23596|90803
22297|67564
5638|8484
47322|87603
982|1724
49164|65917
33153|84091
36210|92508
80338|99958
3842|26496
13105|44116
59858|95830
6999|26607
47555|68383
9364|92458
18844|92068
75685|92942
23489|99774
45916|73338
4797|78324
18810|94875
52330|65306
55593|56627
38047|71099
17981|32615
6288|85645
67722|98481
56931|76645
23926|63510
11643|34375
34701|86688
37881|84881
22416|57718
11314|61687
45757|86522
20525|83594
19369|48474
3924|19724
39663|68026
5312|35587
22170|78183
64954|66129
41294|63730
66409|76433
74198|85262
66414|75995
52322|65995
41341|59804
5417|26900
19000|79141
30381|51994
21237|24534
34750|82678
74122|91524
38009|74327
36855|39041
2989|97354
3352|67226
14403|67515
28443|81871
14644|47523
55578|57783
36871|37722
42691|78942
11013|86753
20701|69069
7749|95519
25914|29641
64746|83267
41211|70691
19035|76271
11837|18336
12847|65583
89901|92599
61521|88809
20906|52042
18750|99917
64546|99875
30460|45539
39464|84627
23645|86843
2197|32055
1834|62184
3757|33647
5258|40142
2374|17361
1422|96378
9448|85586
172|69063
33371|66022
5581|13327
75829|80897
89932|90006
45880|76362
4104|4850
523|39939
14335|73178
20491|86527
38049|70964
52353|63360
33307|71350
63029|94746
8751|12379
12958|56406
66482|70465
66161|97107
33289|72927
33541|52011
45769|85680
56715|94672
27122|60506
61466|93582
74187|86332
74181|86830
30147|71566
13063|47737
36724|49958
64859|74085
60131|73317
63031|94733
13111|43730
14099|92792
42622|84723
61453|94639
349|54414
17182|99062
3799|30218
53976|59895
6995|27085
64862|73885
20451|89926
5383|29831
70871|99430
33330|69494
26952|74582
28586|70034
12953|56897
3849|26082
5487|21190
11239|68060
19421|44324
39978|41992
4849|74168
33377|65606
53698|82989
24077|51071
12490|95306
56851|83445
63147|85144
6985|27948
9383|91054
74121|91734
41366|57973
53909|65366
72459|98605
20524|83893
53909|65365
1894|57298
7895|83506
57104|62322
39634|70666
14531|57031
20526|83715
50518|84694
53717|81317
31982|50419
30031|81283
8233|55468
50731|67022
66466|71717
7183|11547
80476|88579
31445|94982
63|78234
2102|40064
46169|52511
41364|58115
31665|76670
56683|97297
9426|87533
25194|89490
12753|73562
6971|29157
93053|93233
17236|94674
14516|58279
61813|64729
20906|52199
53|79083
49068|74011
3355|67174
5024|59721
39591|74288
16227|47391
36598|60560
34736|84029
9772|58857
2479|8807
59935|89693
50645|74327
91475|93353
3105|87933
15905|74125
85229|87471
45785|84472
53676|84915
53574|93381
70870|99595
66492|69746
63042|93951
39621|71781
39355|93864
42610|85840
6987|27876
18909|86965
4925|67973
20705|68966
34633|92542
32092|41305
63226|78727
7985|76137
16014|65109
989|1445
6618|58518
56967|73922
17508|72170
16572|18790
89825|99209
39489|82707
50468|89061
63193|81447
45782|84686
71097|80784
58460|81087
5500|20259
27060|65835
29012|34889
6288|85945
4924|68088
50881|54671
10986|89240
7232|7598
52344|64316
60214|66469
4567|97708
7100|18541
13264|31241
55156|93066
3136|85420
24291|33527
24371|26889
37856|87271
26731|93166
55314|79965
8154|62148
20344|98939
1562|85015
26714|94515
23617|89426
23957|61207
49267|57597
40942|93270
62996|97760
47507|72652
89926|90766
85193|90360
77447|77926
64697|87626
45650|95704
54002|57823
41371|57637
31727|71682
17823|46081
56684|97369
15695|91620
38428|39762
9583|74651
44101|93186
983|2028
41214|70789
81978|95287
34926|68406
25796|39754
41180|73595
33273|74524
49276|57032
15896|74979
21143|32684
4570|97546
71179|74067
22483|52598
245|63317
66465|72165
68041|72432
42557|90360
910|8124
11061|83114
37721|98528
57125|60933
2415|14291
64645|92161
21967|95414
52305|67785
48846|92744
13302|28163
11627|36118
19404|45984
7170|12869
3324|69940
39801|57053
29936|89406
2981|98402
5023|59989
3469|57906
17418|79801
91434|96809
49014|78704
36753|47871
17701|56303
85120|96601
39290|99456
41373|57636
35250|41526
72475|97563
26956|74569
10203|23303
69651|69803
20710|68741
56806|87349
12497|95068
38048|71455
19474|40255
29881|93933
53580|92966
75839|80455
11037|85147
9941|45068
8362|45053
14255|80198
31764|68732
33192|81366
18970|82129
80402|95160
13471|14251
22289|68789
14845|31283
23990|58701
34602|95396
53791|75626
26922|77498
3326|69852
12636|83537
21065|39290
50503|86388
36172|96167
18771|98617
22726|32498
19649|25800
63405|64125
14308|75883
33455|59507
57154|58665
38189|59808
22332|65254
42750|74458
39727|63228
66288|86988
32013|48110
8046|71322
621|32250
10134|29115
24318|31452
71067|83524
21173|30359
78916|87410
45756|87087
36616|59385
1897|57436
31465|93694
39555|77598
24251|37091
3695|39273
16108|57586
22390|60473
36561|63956
22236|73252
2316|22667
41093|81022
8030|72680
16513|23977
10012|39245
39445|86733
64764|82312
6637|57256
2329|21591
42842|66912
8630|22906
33488|56870
47339|86871
59917|91388
80356|98922
15661|94674
37749|96388
36494|69479
19086|72591
22124|82586
64776|81344
14242|81419
48805|96201
16292|42356
36149|98124
3947|18397
4625|93185
38413|41261
15789|84079
86684|97940
6311|84334
29972|86517
63135|86463
17303|89485
46191|51046
46034|64077
8033|72481
207|66695
50711|69235
69592|75000
89915|92145
14170|87429
33576|49620
94596|96839
30297|59623
53621|89854
45629|97808
71117|79489
21129|34118
1970|51444
39767|60071
20488|87324
9832|54279
89833|98941
23979|59749
30144|72351
28620|67771
78993|81179
1432|96115
61413|98514
44289|77928
26752|91686
78896|89176
67948|80406
23605|90740
23622|89330
33642|44101
69297|99494
39346|94955
31552|86525
17974|33869
46038|63817
56709|95732
23615|89932
14633|49028
9820|55296
39573|76230
19411|45715
23615|90006
27338|43140
55589|57519
3497|55833
77443|78667
16459|28577
24320|31497
11627|36424
74327|75157
48892|89079
83661|86858
11645|34935
2488|8516
25158|93025
20622|76261
75689|93197
94558|99926
39508|81607
26886|80684
52236|73692
786|18727
31757|69556
70875|99548
55471|67341
44561|55417
5235|42695
11235|68992
9705|64888
30125|73935
23749|78864
17665|59589
16590|17725
32070|43591
36683|53906
8059|70456
2001|48975
64778|81286
41270|66414
92979|99865
64940|67850
3603|47092
72606|86919
31842|62597
42460|98821
15749|87577
17387|82697
4985|63473
47418|80525
28502|77678
88323|93347
30141|72702
52018|91968
5663|7215
1445|95154
6727|49978
56790|89115
16571|19329
6572|62830
6821|42167
74244|82260
39513|81243
61791|67269
69295|99804
8253|54403
36489|70091
51961|96722
19497|38665
45769|86283
16470|27772
2151|36582
4582|96949
36316|84460
55554|60659
9561|76928
50741|66924
58720|60022
14879|28738
53727|81231
82022|91959
64573|98417
8633|22894
3398|64176
18127|21332
71179|74406
50353|99021
33129|86930
41453|51376
14282|78311
63017|96472
91477|93624
50731|67649
10267|18365
27496|30169
9337|95550
9465|84927
18099|23643
26765|90851
11405|55003
24256|36900
14122|91635
17977|33814
52060|88443
80398|95642
5166|48538
34883|72365
58693|62179
34669|90152
9695|65874
67822|90911
61651|78810
14820|33692
439|47682
88307|94559
2310|23467
15716|90403
15860|78451
55540|61750
9981|42127
33181|82571
69655|69843
2100|40896
4695|87669
6551|64698
13445|16792
58663|64839
6920|34070
16269|44552
33605|47464
61731|72359
10236|21003
362|54105
61594|83703
72500|96011
20783|63080
31646|79000
36428|75304
38009|75157
36528|67006
25235|86779
13280|30516
23515|98466
36734|49881
83538|97370
11169|74659
5017|60981
1716|72818
42663|82063
28819|51459
36340|82594
28465|80853
60006|84491
45836|80837
25147|94101
11759|25676
11335|60868
56817|87025
13176|39138
52233|74286
63193|82100
26668|98935
25610|55750
56937|76962
67951|80322
16440|30422
36753|48409
44284|78692
1549|86708
15927|72996
53706|82988
53506|99588
27251|50638
61813|65460
20495|87059
2364|19069
11543|43633
38068|70316
12455|99015
3393|64746
57124|61452
32178|34914
21235|25627
28940|41475
38320|49379
44483|62151
55527|62940
40943|93826
21199|28665
8190|59822
97725|99439
47530|71384
58393|87206
7778|94011
31540|87820
27097|63376
27417|36816
17977|33948
11226|70002
19000|80099
64824|77726
77455|77915
52303|68404
31950|53813
758|21332
39758|61093
71084|82436
6704|52104
62980|99714
77408|82022
6729|50047
3623|45694
88322|93681
38452|38521
61719|73477
88338|92358
11247|68287
54003|58528
26852|83808
7710|99690
93045|94874
86729|94807
6362|80523
40878|99289
16459|28883
60235|65577
31726|72489
18980|81781
20451|90766
1405|98745
7803|91991
28666|64331
77329|88600
48864|91874
72620|86233
53934|64282
19409|46237
796|18225
59864|96385
19549|34614
6333|82951
6400|77379
53530|97823
41185|73801
69481|84621
64715|86985
3717|37930
26749|92336
19573|32602
28420|84711
94597|97104
53506|99822
22726|33047
33682|41190
16239|47187
48943|85342
23873|68906
39801|57582
1628|80262
52153|81056
50356|99015
6879|37663
30042|81246
19658|25596
27407|37797
27362|41533
91461|95232
1912|56711
36708|52271
6959|31016
22433|57407
1917|56298
14522|58656
33349|68921
22777|28843
27311|45789
24291|34310
22484|53157
22089|86000
14389|69742
19323|53426
30203|67841
50564|81789
14327|74890
50598|78974
46159|54230
25712|47390
63393|65552
16588|18273
27095|63676
25759|43498
28695|61963
35106|54130
18973|82459
3770|33611
18055|27586
80458|90938
13114|44480
15944|71730
14035|99107
40008|40574
28771|55724
58518|77133
26889|80854
63126|87894
41376|58112
18849|92799
14690|44787
64703|88077
2237|29797
72622|86150
17691|57834
57156|59110
2525|5906
12811|69660
89841|98792
55113|97613
61583|84883
16356|37609
14961|22318
11519|45868
21252|24453
24163|44949
13455|16257
82087|86998
60024|83253
42806|70443
28593|70492
8025|73722
6577|62830
55251|86187
58568|73024
67729|99075
72547|92395
17571|67822
14876|29409
50645|75157
86716|95968
3860|26213
33088|90699
22360|63600
848|14073
25188|91043
10249|20217
16152|54577
3765|34107
30620|33414
19472|41148
17800|48851
39493|83376
3899|23005
31405|99326
7825|90378
10032|38265
11328|61786
12498|95748
2201|32879
9908|48580
49119|70793
6163|97268
14656|47683
63387|66180
33415|63543
61582|84926
56868|82981
14358|72429
72681|81208
49272|58103
36774|46878
83559|96040
5048|58753
64629|94344
27167|57908
47298|90998
21099|37258
36520|68064
36489|70638
67759|96694
5113|53353
15864|78550
33590|49087
3240|77745
17818|47434
17436|79125
2342|21218
45742|89058
49259|59341
52043|90409
39491|83601
38363|46156
17739|53975
56914|79350
80446|92231
35079|56546
7125|17463
67944|81362
30439|48471
38382|44536
64812|79165
18923|86813
58729|59786
6211|93337
49370|50159
71000|89849
8437|39680
1433|96717
80568|82087
11177|74415
81945|98858
21050|41381
6400|77670
30563|38275
36813|43789
91473|94467
29837|98534
58454|82521
5671|7116
2139|38143
47425|80499
33207|80956
10186|25590
11545|43860
20880|55475
582|36300
42917|61449
89850|98088
46231|48521
45746|88776
14612|51477
27127|61261
8706|17380
33001|98016
44289|78625
30081|78224
457|46687
17650|61471
39377|93093
9518|81074
37717|99801
7144|15962
36151|98712
68055|72081
31440|96517
26890|81032
47352|86648
27137|60539
10037|38006
16201|50707
16512|24892
13302|29180
3872|25429
14612|51495
19686|23579
44321|76059
68010|75974
74152|90533
9873|51632
1837|63269
12852|66514
46230|48670
8266|53965
2104|41126
54009|58450
55174|92818
50867|57089
20605|78417
1535|88350
36704|52895
79002|81161
6939|33050
44134|91546
11466|50501
20871|56330
82102|86013
31955|53844
22353|64391
13294|29857
358|54986
10952|93171
33598|48542
34930|69054
41562|42878
39577|76559
39330|97060
11500|47725
14656|47925
55539|62436
1917|56667
56785|90090
3240|77943
80516|86522
80499|87933
2150|37338
71066|84422
30302|60064
28771|56056
12899|62668
38317|50158
97749|97979
56980|73912
33380|66730
96148|99786
3364|67665
47412|81702
3836|28498
6726|50776
74223|84519
8348|47228
47206|98794
2247|29320
64614|95692
37771|95470
36662|56443
79005|80837
55571|59824
27249|51284
8136|64839
16127|56920
68060|71800
19365|50321
16061|62394
39759|61517
30166|71318
80495|88461
63172|84454
3993|15496
7135|16865
33434|62296
34702|88123
11631|36927
36642|58199
5084|56037
40975|91754
6536|66596
3849|27466
3743|36261
8173|61790
41458|51673
63039|95486
1817|65059
10371|10427
63313|72746
63308|73161
17474|76276
55156|94450
69401|91778
17726|55365
79000|81448
17453|78011
64621|95298
57018|70967
35273|40694
28961|40311
3357|68323
7189|12429
49235|61611
71208|72849
16438|31168
33316|72073
26917|78912
36556|65289
4721|86195
13387|22271
23731|81272
35125|53089
14507|60421
2229|30904
28287|96345
52030|91662
63245|78331
13103|45880
68074|70754
88268|98610
6855|40158
61452|96090
40960|93081
33206|81307
2436|13739
96170|98097
17328|88411
61663|78552
38038|73446
3833|28854
17201|98956
24151|46435
19347|51896
36547|66131
77419|81577
71211|72498
13254|33377
18887|90134
27489|31470
71100|81765
53905|67134
35102|54960
63057|93971
34652|92305
47674|60071
44301|77882
19113|71372
5193|47069
43011|53864
804|18160
50924|52438
38298|51841
78898|89860
39462|86298
49210|63764
71108|81261
25421|72142
70883|99938
66312|86105
91473|94941
63027|96624
17696|57940
91457|96242
79008|80950
64650|92970
22250|73163
33024|96476
34600|96738
64901|72133
23616|90908
25848|36722
47308|90530
77411|82432
18943|85498
50365|98999
1926|56149
52019|92798
3937|20304
39559|78316
11779|24797
64916|70934
882|11733
34578|98513
13014|53369
22431|58186
52175|79857
41202|73031
5184|47876
25219|88885
39991|42449
72498|96979
16002|67497
80561|83087
33573|50871
8316|50083
31694|75757
25328|79856
28804|53485
32201|33675
14172|88353
47663|61155
61543|88654
11647|35783
2303|24886
12956|58216
30243|65194
36779|47018
6307|85774
80458|91592
39357|95188
20817|61098
35237|43937
10135|30214
46047|64189
83527|99031
50794|63323
25837|37699
33560|52005
26878|82317
18882|90676
27175|57660
56703|97186
10299|16618
45758|88159
6197|94945
16423|32623
16558|21415
47313|90166
21277|22964
14035|99755
58279|97442
34707|87868
37785|94558
66272|89405
78823|96198
3303|72996
36251|90814
4927|69275
31808|66342
21219|27771
5166|49457
30133|74316
25389|74843
3966|17978
55593|58260
64976|65875
69600|75298
25555|61078
27456|34362
25733|46303
10208|24207
32058|45692
38030|74317
3585|49614
59990|86663
20826|60429
8255|55226
36723|51730
21023|44068
47317|89925
60270|63446
176|70433
33521|55357
1603|83065
33396|65726
9583|76088
587|36334
77288|92770
6443|74564
7780|94663
45727|90807
22742|32509
62993|99601
74302|78409
14893|28608
20548|83539
49375|50231
1008|1399
44317|76761
44|81413
3520|55053
41079|83368
61558|87644
56937|77946
59889|95070
4595|96895
9453|86891
8712|17349
13262|32891
30648|31640
41479|50154
44417|68436
17583|67465
31513|90990
12971|57089
3004|97903
30660|30721
3614|47285
47454|78622
64620|95546
3672|42470
14377|71471
6178|96607
66324|85182
13367|24206
23966|62040
6742|49818
38387|44728
4568|99189
16150|55374
58439|84274
60275|62957
4618|95030
19480|41171
22188|78550
50882|56163
17215|98086
37966|79664
33511|56189
18931|86722
22079|87586
59958|89306
29895|94202
3948|19598
77218|98487
3463|59864
58329|93430
66418|77397
1719|73541
2531|6156
53|80754
26824|87024
1932|55876
67754|97758
55327|80609
80495|88851
41062|84939
6962|31601
55476|68234
863|13539
23778|77704
13158|41646
39331|97537
22390|61807
7255|7302
44673|47352
13370|24020
57101|64456
28283|97011
23716|82858
63006|98606
34789|81306
36162|98404
1707|74575
69332|97836
42830|69244
8155|63667
18931|86749
22857|23031
25326|80249
8669|21027
29875|95896
31529|89688
45971|70669
27401|39115
6980|30160
47509|74081
4654|92145
28872|48094
3842|28464
20686|72192
55427|72358
36895|37532
34685|89902
2158|37167
14574|55200
18168|19040
19167|67246
10971|92145
16415|33515
41577|42250
47344|87885
5292|39208
19717|21595
9478|84986
8656|22139
10063|36426
86781|91348
28570|73248
27105|63767
19563|34375
52198|78106
89917|93205
49149|69034
63028|96711
17977|34927
12609|87247
13381|23176
33286|75049
18995|81499
33347|69982
3738|37133
19286|57349
72505|96551
18792|98403
4575|98751
17743|54400
23956|62954
6178|96778
23956|62955
58285|97204
78968|84410
45740|89905
23548|96825
36862|40356
15939|73056
38278|53899
3028|96092
18903|89175
38434|40923
81981|96499
20931|51927
63234|79649
7195|12383
17770|52144
47515|73638
20731|68518
6556|65412
37904|84925
641|32080
50833|60517
50619|78279
16416|33492
69412|91345
71045|86870
6394|78870
41250|69466
16567|20968
30063|80456
20713|70054
28916|44589
28948|41933
1812|65968
34616|95770
18056|28435
82|78498
45968|71066
14526|59273
17494|75086
20885|55773
44408|69468
14059|98046
53862|71276
22268|72050
44626|51377
8518|33664
27459|34467
14212|85344
82059|90202
61532|90046
53582|94524
11867|17879
55389|75612
38185|61684
66505|70492
4048|11493
13183|39701
12950|59040
69443|88778
7754|97112
14053|98575
47479|76688
33257|77485
20554|83274
38147|64822
63293|74952
23953|63291
19016|79853
13418|20246
2284|26846
3899|23875
16512|25585
57027|70635
74189|88019
39709|66354
67797|94246
30012|84754
38403|43684
6667|56298
50376|98396
74258|82301
33453|61321
5030|61098
10378|10432
71058|85722
39551|79447
72781|73771
58662|66043
59922|92537
21148|34059
33719|39195
29050|33491
10237|22146
13155|42109
28961|40891
36891|38077
3145|86495
33173|84501
5223|45109
42941|60195
89850|98841
5502|21954
34943|68689
9377|93544
46021|66699
17279|93025
60098|77939
53698|84857
36520|68849
7911|84141
13442|18279
27230|53506
24022|57695
23673|86665
74071|97999
15795|85165
22417|59835
6597|62159
6716|52282
6727|51369
67897|86134
33027|96717
